X1,X2,X3,X4,X5,Y
0.804892607,-0.298357956,-0.596715911,-1.019433461,-0.131241539,1.991106638
0.597281537,-1.205585194,-2.411170388,-4.232450122,1.153845181,-8.24416952
-0.44647885,-2.96466605,-5.9293321,-3.578029425,2.151874981,-3.178456747
-1.044599863,0.481727132,0.963454264,-0.224864144,-1.766776033,7.703119606
-1.024897968,-1.326383142,-2.652766285,-3.417300781,8.099913229,-30.44265543
1.388608168,-1.831094141,-3.662188282,-4.013343456,-6.550108101,22.74710902
1.723807352,-0.732566377,-1.465132755,0.182611102,-2.589855298,16.45654755
0.80773899,-0.682949097,-1.365898194,-1.092372648,-2.917982249,13.59366951
-1.066242592,-1.623375535,-3.24675107,-5.366954293,0.515289678,-7.825057754
0.906077238,-2.759356088,-5.518712176,-3.877750201,-2.051329782,10.42058919
0.1171132,-1.448623794,-2.897247588,-2.497627069,2.312500021,-6.324163444
-0.753559654,-1.948853798,-2.058095559,-1.436947884,-1.514502675,13.28100699
-2.453759776,-0.395701364,-0.791402729,-1.930827904,-1.298777713,4.125440358
1.550196428,-0.774146246,-1.548292491,-1.730394642,1.530995899,-3.406383981
-0.403895295,-2.36073593,-4.721471861,-2.717988634,-0.712656727,7.188967106
0.483762956,1.609536919,3.219073838,-1.14726352,3.045192482,-17.7008532
-0.947090588,-2.879322655,-5.758645311,-0.974488074,1.084463024,8.789666824
-0.151543951,-0.161718284,-0.323436569,-2.150097919,-0.624875601,0.45468359
0.087568914,-0.901829133,-1.803658266,-0.962422314,-1.369334611,9.556818696
-2.360067761,-0.525815078,-1.051630157,-1.894766557,2.693221887,-9.591336183
0.357355618,-0.502955292,-1.005910584,-3.011879225,-0.882322211,-0.187265304
1.243282645,-0.099987243,-0.199974485,-1.877108057,6.605091745,-25.1023804
-0.563383787,-3.736324119,-7.472648237,-0.890752021,1.150171784,12.15341204
0.764917254,-2.224821253,-4.449642507,-5.422171871,1.666545397,-9.585839035
-0.459430279,-0.261663549,-0.523327098,-2.176325019,0.247481467,-3.000112398
0.122623315,-4.176390645,-8.35278129,-3.260516792,-3.920197796,24.75772095
1.629189533,-1.578254626,-3.156509253,-1.021159888,-0.698239725,9.725970504
0.848097717,-2.902556511,-5.805113023,-3.818186328,-1.956065575,10.60555213
0.392531966,-0.770411002,-1.540822003,-1.956308324,-0.943391562,4.23282983
0.009085163,-1.240868418,-2.481736837,-5.032678352,-0.078410166,-6.563890687
-1.261037896,-0.665980667,0.507650703,-0.35466186,1.047837561,1.494637575
-0.660400907,-1.30043375,-2.6008675,-0.129413847,-2.779836284,18.50537904
-0.765915802,-2.923047881,-5.846095763,-3.98893071,2.475558026,-5.541668743
-0.621929261,0.637518399,1.275036797,-1.13745903,-1.522021463,2.962459991
